ics,measured_item_isscfc
1516,034.3.1.5.1.90
1516,034.3.1.5.2.11
1516,034.3.1.5.2.12
1516,034.3.1.5.2.19
1516,034.3.1.5.2.30
1516,034.3.1.5.2.40
1516,034.3.1.5.2.53
1516,034.3.1.5.2.90
1514,034.1.5.1.39
1514,034.1.5.1.49
1516,034.3.1.5.4.49
1516,034.3.1.5.3.90
1529,034.3.1.5.5.11
1529,034.3.1.5.5.12
1529,034.3.1.5.5.19
1529,034.3.1.5.5.90
1529,034.3.1.5.6.90
1516,034.3.1.5.8.70
1514,034.1.5.1.90
1504,034.4.1.3.9.30
1504,034.4.1.3.9.90
1504,034.4.1.4.3.90
1517,034.4.1.5.1.13
1517,034.4.1.5.1.19
1517,034.4.1.5.1.31
1517,034.4.1.5.1.50
1517,034.4.1.5.1.45
1517,034.4.1.5.1.70
1517,034.4.1.5.1.90
1517,034.4.1.5.2.11
1517,034.4.1.5.2.12
1517,034.4.1.5.2.19
1517,034.4.1.5.2.25
1517,034.4.1.5.2.30
1542,034.3.1.5.9.90
1517,034.4.1.5.2.40
1517,034.4.1.5.2.45
1517,034.4.1.5.2.53
1517,034.4.1.5.2.90
1517,034.4.1.5.4.09
1517,034.4.1.5.4.41
1517,034.4.1.5.3.90
1530,034.4.1.5.7.75
1517,034.4.1.5.4.90
1517,034.4.1.5.3.80
1530,034.4.1.5.5.11
1530,034.4.1.5.5.12
1530,034.4.1.5.5.19
1530,034.4.1.5.5.20
1530,034.4.1.5.5.90
1530,034.4.1.5.6.90
1530,034.4.1.5.7.69
1517,034.4.1.5.8.70
1543,034.4.1.5.9.90
1504,034.4.2.3.9.90
1504,034.4.2.4.3.90
1517,034.4.2.5.1.90
1517,034.4.2.5.2.11
1517,034.4.2.5.2.12
1517,034.4.2.5.2.19
1517,034.4.2.5.2.30
1517,034.4.2.5.2.40
1517,034.4.2.5.2.45
1517,034.4.2.5.2.60
1517,034.4.2.5.4.41
1543,034.4.2.5.9.90
1517,034.4.3.5.1.90
1517,034.4.3.5.2.19
1517,034.4.3.5.2.30
1517,034.4.3.5.2.45
1517,034.4.3.5.2.60
1543,034.4.3.5.9.90
1501,034.1.4.4.10
1565,037.2.2.1.9.95
1518,035.02.3.5.3.90
1518,035.02.1.5.2.12
1509,411.12.4.4.10
1518,035.02.2.5.3.49
1520,035.02.3.9.1.21
1520,035.02.3.9.1.22
1533,035.02.3.9.1.24
1533,035.02.3.9.1.25
1518,035.02.2.5.1.90
1518,035.02.2.5.2.11
1505,035.02.2.4.5.90
1518,035.02.3.5.2.60
1507,035.02.3.9.1.26
1520,035.02.3.9.1.27
1554,036.0.1.4.3.31
1518,035.02.3.5.8.90
1518,035.02.1.5.2.90
1531,035.01.1.90
1518,035.02.1.5.2.11
1518,035.02.1.5.2.19
1518,035.02.1.5.2.60
1518,035.02.1.5.4.90
1520,035.02.3.9.2.31
1501,034.1.2.1.30
1505,035.02.3.3.9.90
1505,035.02.2.4.3.39
1505,035.02.2.4.3.391
1505,035.02.1.4.3.50
1531,035.02.3.5.5.90
1518,035.02.3.5.1.13
1518,035.02.3.5.2.11
1505,035.03.3.9.90
1518,035.02.1.5.2.95
1518,035.02.2.5.2.90
1518,035.02.3.5.4.90
1518,035.02.1.5.3.90
1531,035.02.3.5.5.191
1518,035.03.5.4.12
1514,034.1.5.2.11
1514,034.1.5.2.12
1531,035.02.2.5.6.90
1531,035.02.2.5.7.69
1518,035.02.3.5.8.70
1518,035.02.2.5.4.91
1544,035.02.2.6.90
1544,035.02.3.5.9.99
1546,035.02.3.9.1.10
1518,035.03.5.1.90
1546,035.02.3.9.1.29
1520,035.02.3.9.2.32
1546,035.02.3.9.1.90
1505,035.03.4.2.10
1505,035.03.4.3.39
1505,035.03.4.5.90
1518,035.03.5.1.11
1518,035.03.5.1.13
1518,035.03.5.2.19
1518,035.03.5.2.30
1514,034.1.5.2.30
1531,035.03.5.5.11
1531,035.03.5.5.19
1531,035.03.5.5.50
1531,035.03.5.6.20
1531,035.03.5.6.90
1531,035.03.5.7.69
1544,035.03.5.9.90
1544,035.03.5.9.95
1546,035.03.9.1.90
1514,034.1.5.2.40
1514,034.1.5.2.53
1553,036.0.1.3.1.10
1553,036.0.1.3.1.90
1553,036.0.1.3.2.90
1553,036.0.1.3.3.11
1553,036.0.1.3.3.12
1553,036.0.1.3.3.21
1553,036.0.1.3.3.22
1553,036.0.1.3.3.91
1553,036.0.1.3.3.31
1553,036.0.1.3.5.20
1553,036.0.1.3.5.30
1553,036.0.1.3.5.99
1553,036.0.1.3.5.91
1553,036.0.1.3.9.90
1540,034.1.2.1.90
1514,034.1.5.2.90
1554,036.0.1.4.2.19
1554,036.0.1.4.2.11
1554,036.0.1.4.2.29
1554,036.0.1.4.2.21
1554,036.0.1.4.2.22
1554,036.0.1.4.2.99
1554,036.0.1.4.2.91
1514,034.1.5.3.36
1554,036.0.1.4.3.11
1554,036.0.1.4.3.12
1554,036.0.1.4.3.21
1554,036.0.1.4.3.22
1554,036.0.1.4.3.91
1554,036.0.1.4.5.99
1554,036.0.1.4.5.91
1554,036.0.1.4.5.92
1554,036.0.1.4.5.93
1554,036.0.1.4.5.94
1514,034.1.5.3.461
1554,036.0.1.4.5.95
1554,036.0.1.4.5.96
